Poster,Content,Thread,Gender,Location,Political_leaning,Subjectivity,Polarity
Kiwimac,Logical1 saidDo all you pro abortion people know that to harvest organs for transplan the baby has to be living?   That means Planed Parenhood and abortion doctors are cuting the heart or what ever out of a living human being.   How do you justify that?    I call it just plain murder.Click to expand...What a bunch of hooey,1,Male,"Deepest, Darkest NZ",Very Liberal,0.23571428571428568,0.01190476190476191
Kiwimac,"Logical1 saidI live in a logical black and white world.  Your are either pro aborition or ani abortion.  I am among the later.Click to expand...The world is filled with greys. There is very litle in life black or white, evil or good.",1,Male,"Deepest, Darkest NZ",Very Liberal,0.4242424242424242,0.05482093663911847
roguenuke,Logical1 saidI live in a logical black and white world.  Your are either pro aborition or ani abortion.  I am among the later.Click to expand...There is nothing logical about believing this world is black and white.,1,Female,"Rolesville, NC",Moderat,0.26458333333333334,0.06912878787878789
year2lat,Logical1 saidI live in a logical black and white world.  Your are either pro aborition or ani abortion.  I am among the later.Click to expand...So it is ok to lie in your black and white world?,1,Female,,Progressive,0.26666666666666666,0.0432900432900433
D_NATURED,"Logical1 saidI live in a logical black and white world.  Your are either pro aborition or ani abortion.  I am among the later.Click to expand...In my world full of nuance and rational thinking, you aren't ani-abortion, you're pro-slavery. Deal wit it",1,Male,,Progressive,0.33055555555555555,0.1366161616161616
Logical1,Yes women do have a right to chose.  CHOSE TO BE RESPONSIBLE and use conraceptives.  Much more responsible than murdering a baby.,2,Male,Nebraska,Very Conservative,0.5339285714285715,0.29642857142857143
vegas gian,Logical1 saidYes women do have a right to chose.  CHOSE TO BE RESPONSIBLE and use conraceptives.  Much more responsible than murdering a baby.Click to expand...Or choose to get a abortion,2,,,,0.4771428571428572,0.28714285714285714
Sidd Finch,Logical1 saidYes women do have a right to chose.  CHOSE TO BE RESPONSIBLE and use conraceptives.  Much more responsible than murdering a baby.Click to expand...How is it your business?,2,Male,,Independen,0.4771428571428572,0.28714285714285714
Slavister,Good thing abortions do not murder babies.,2,,,,0.6000000000000001,0.7
year2lat,Logical1 saidYes women do have a right to chose.  CHOSE TO BE RESPONSIBLE and use conraceptives.  Much more responsible than murdering a baby.Click to expand...Murdering babies is illegal. If people are murdering babies that should be arrested and put on trial.,2,Female,,Progressive,0.480952380952381,0.15595238095238095
RaleBulgarian,Logical1 saidYes women do have a right to chose.  CHOSE TO BE RESPONSIBLE and use conraceptives.  Much more responsible than murdering a baby.Click to expand...How can you expect anyone to take you seriously when you donxe2x80x99t know the difference between a baby and a fetus?,2,Male,,Independen,0.5087301587301588,0.18373015873015874
Scrabaholic,"Logical1 saidYes women do have a right to chose.  CHOSE TO BE RESPONSIBLE and use conraceptives.  Much more responsible than murdering a baby.Click to expand...How does one ""chose""?Abortion does not ""murder a baby"". Over half of women who abort were using conraception. Even if they weren't, they still have a right to abort",2,Female,"Near Kingston, Onario, Canada",Conservative,0.44115646258503405,0.22210884353741495
mrjurrs,Logical1 saidYes women do have a right to chose.  CHOSE TO BE RESPONSIBLE and use conraceptives.  Much more responsible than murdering a baby.Click to expand...Murdering a baby is homicide.  Terminating a pregnancy is a medical procedure.  Only one is illegal.,2,Male,The Bay,Progressive,0.48571428571428577,0.11696428571428572
Questerr,"Logical1 saidYes women do have a right to chose.  CHOSE TO BE RESPONSIBLE and use conraceptives.  Much more responsible than murdering a baby.Click to expand...You do know that conraception fails, right",2,Male,San Anonio,Libertarian - Left,0.4602040816326531,0.17448979591836736
bongsaway,Logical1 saidYes women do have a right to chose.  CHOSE TO BE RESPONSIBLE and use conraceptives.  Much more responsible than murdering a baby.Click to expand...A fetus. I'm sick of people like you who wan to keep women from making their own decisions using the same old false line of killing babies and yet the right just dismisses the hundreds of thousands who have died from covid. Absolutely sickening. Your morals aren't mine.,2,Male,Flori-duh,Progressive,0.5503571428571429,-0.029285714285714304
gulfman,Threads like this make me wonder why they give lethal injections to the condemned.Why don't they just sever their spine.It's painless.They do it every day to babies.,2,Male,,Very Conservative,0.0,0.0
vegas gian,gulfman saidThreads like this make me wonder why they give lethal injections to the condemned.Why don't they just sever their spine.It's painless.They do it every day to babies.Click to expand...And it works great!!!,2,,,,0.75,0.8
Xilnik,"RaleBulgarian saidHow can you expect anyone to take you seriously when you donxe2x80x99t know the difference between a baby and a fetus?Click to expand...Or, for that mater,'choose' an'chose'.",2,Male,Colorado,Independen,0.6666666666666666,-0.3333333333333333
SheWolf,"Logical1 saidYes women do have a right to chose.  CHOSE TO BE RESPONSIBLE and use conraceptives.  Much more responsible than murdering a baby.Click to expand...If you think this discussion comes down to failure to use birth conrol, you're very ignoran about the health care needs of women",2,Female,,Other,0.4093253968253968,0.14543650793650792
Lursa,"Logical1 saidYes women do have a right to chose.  CHOSE TO BE RESPONSIBLE and use conraceptives.  Much more responsible than murdering a baby.Click to expand...Sure, women have the right to choose re: abortion and also the right to choose to be responsible.Here's just how responsible a choice abortion can beSo...women and men know that no birth conrol is 100% effective and everyone knows that adults are welcome to share all the responsible consensual sex they wan. They also know that they have responsible options if there's an accidenal pregnancy.Do you deny the above are responsible reasons? If you deny it, please explain",2,Female,Outside Seatle,Independen,0.5326530612244897,0.3005102040816327
Lursa,"gulfman saidThreads like this make me wonder why they give lethal injections to the condemned.Why don't they just sever their spine.It's painless.They do it every day to babies.Click to expand...Really? Is that how you believe most abortions take place? Gee, then you are very very uninformed.  Posts like yours make me wonder if most Americans actually took high school health class.97.5% of all abortions take place early and consist of painlessly flushing a raspberry-sized or smaller unborn from the womb.The rest are later term, generally ""waned' pregnancies that end up needing to be terminated for medical reasons. Sad, but necessary. And by law...all such abortions require lethal anesthetic injection before removal.So...I'm sorry to have had to fill in for some days you skipped school but I hope you can now sleep beter knowing that no abortions cause any pain or suffering to the unborn. Do you feel beter now?",2,Female,Outside Seatle,Independen,0.44846153846153847,0.08230769230769232
rickc,"The law of the land ""a woman's right to chooseRepublican's plan to change itJust another reason to vote them out of office",2,,,,0.5357142857142857,0.2857142857142857
weaver2,gulfman saidThreads like this make me wonder why they give lethal injections to the condemned.Why don't they just sever their spine.It's painless.They do it every day to babies.Click to expand...  90% of all abortions are done at or before the 13th week of pregnancy.  At 13 weeks the fetus is less than 3inches long and weighs less than an ounce.  There is no severing of spines at 13 weeks.Why don't you get your facts straight before you start hypervenilating over something that doesn't happen,2,,Oregon,,0.23333333333333334,-0.04583333333333332
OceanBlues1,"Logical1 saidYes women do have a right to chose.  CHOOSE TO BE RESPONSIBLE and use conraceptives.  Much more responsible than murdering a baby.Click to expand...Most women who don't wan to get pregnan DO use conraceptives.  The problem is that ALL conraceptives can and do fail occasionally.  No conraceptive has a 100% guaranee against unwaned pregnancy.  And no, total abstinence from sex isn't what I call a conraceptive.In any case, it doesn't mater how a pregnancy occurs.  Each woman who gets pregnan has the right to decide for herself whether or not to coninue the pregnancy.  If you aren't the woman who is pregnan, it isn't your decision.  Nor should it ever be.",2,Female,,,0.45515873015873015,0.13571428571428573
OceanBlues1,vegas gians saidOr choose to get a abortionClick to expand...Exactly.  It doesn't mater whether OP approves of that choice or not,2,Female,,,0.0,0.0
weaver2,Logical1 saidYes women do have a right to chose.  CHOSE TO BE RESPONSIBLE and use conraceptives.  Much more responsible than murdering a baby.Click to expand...So when do you think men should start thinking about their responsibilities?,2,,Oregon,,0.4771428571428572,0.28714285714285714
uptower,"Scrabaholic saidHow does one ""chose""?Abortion does not ""murder a baby"". Over half of women who abort were using conraception. Even if they weren't, they still have a right to abortClick to expand...In addition, some forms of conraception like Plan B are also an abortion. Is the morning after pill irresponsible? It is more irresponsible to bring an unwaned child ino the world.",2,Male,Behind you - run,Other,0.40079365079365076,0.20634920634920637
weaver2,"uptower saidIn addition, some forms of conraception like Plan B are also an abortion. Is the morning after pill irresponsible? It is more irresponsible to bring an unwaned child ino the world.Click to expand...Plan B is another name for the morning after pill.  It prevens implanation of the fertilized egg so they are post conception chemicals. It can be called and  abortifacien  but what ever is aborted is not a baby and It is impossible for a fertilized egg to be graned a full set of rights.  not only is it irresponsible to give birth to a child you don't wan, it is also cruel and unjust to the child.  This counry can't /won't  do right by the children here now. More unwaned children are  a bad idea.",2,,Oregon,,0.7265306122448979,-0.004421768707482994
acomancer,vegas gians saidOr choose to get a abortionClick to expand...Or choose taco bell,2,Male,Akron,Progressive,0.0,0.0
soylengreen,gulfman saidThreads like this make me wonder why they give lethal injections to the condemned.Why don't they just sever their spine.It's painless.They do it every day to babies.Click to expand...Why are the ani abortion crowd like you so obsessed with telling lies.  It is as if you already know you have not one inelligen or worthwhile argumen to support your case so instead you just spread bullshit remarks like this.,2,Male,ew zealand.,Other,0.75,0.0
weaver2,"If abortion was baned, penalties were heavy and  inensive policing was used to track down providers and women so that very few abortions happened there would be about 700.000 additional children born every year.What kind of legislation  would  Congressman and women have to enact in order to deal with 700,000 unwaned children every year  that need medical services, child care, education, financial support of 75%, police, jails, counseling, job support, welfare?Since baning abortion  is a conservative dream how will you accomplish this and  what kind of solution do you proposer dealing with the 700,000 additional unwaned children ?",3,,Oregon,,0.4126984126984127,0.14920634920634918
Rexedgar,"Pro-lifers are only pro-life for those that have yet to draw breath, once you suck that first lung-full, you are on your own........",3,Male,,Independen,0.3333333333333333,0.25
weaver2,"Rexedgar saidPro-lifers are only pro-life for those that have yet to draw breath, once you suck that first lung-full, you are on your own........Click to expand...I agree with you that seems to be their plan, but when the reality of 800,000 extra children every year (8,000,000 in ten years) shows up in the real world needing services, programs, education, medical atenion, housing someone is going to have to come up with a plan to deal with these needs.  The reality that a  20% increase in births every year is so enormous it will not simply be absorbed ino the general population  doesn't seem to have sunk in to the conservative mind, yet",3,,Oregon,,0.4333333333333333,0.1142857142857143
soylengreen,"weaver2 saidIf abortion was baned, penalties were heavy and  inensive policing was used to track down providers and women so that very few abortions happened there would be about 700.000 additional children born every year.What kind of legislation  would  Congressman and women have to enact in order to deal with 700,000 unwaned children every year  that need medical services, child care, education, financial support of 75%, police, jails, counseling, job support, welfare?Since baning abortion  is a conservative dream how will you accomplish this and  what kind of solution do you proposer dealing with the 700,000 additional unwaned children ?Click to expand...They will do what christians have always done with those born in sinScandal of cesspit babies: Bodies of 800 kids were thrown in a sewage tank by nuns - NZ Herald",3,Male,ew zealand.,Other,0.4126984126984127,0.14920634920634918
weaver2,soylengreen saidThey will do what christians have always done with those born in sinScandal of cesspit babies: Bodies of 800 kids were thrown in a sewage tank by nuns - NZ HeraldClick to expand...There are stories like this from Ireland and Quebec.,3,,Oregon,,0.0,0.0
Lursa,"OP question is good, would be ineresting to see pro-life people respond.It does illustrate a poin I often make: that there are no negative consequences  from abortion on society. At least, no on's ever been able to list any when requested.This is the barely coheren and grammatically inept speech of a man who desperately wans to be able to claim that he ""cured coronavirus.That's it, in a nutshell. When we do get a handle on this crisis, he wans to be able to pull out footage and declare ""I called it! I said use this! I said try this! I told them to do this, it was my idea!"" He's just doing it with lots of stupid stuff because he doesn wan to miss an opportunity. He's afraid'the big on' will be menioned and he won get credit for itIt's all about declaring himself the savior of the cv crisis and we'll hear all about it, esp in his campaign. (Which is basically each of his press briefings these days) --- LursaClick to expand...",3,Female,Outside Seatle,Independen,0.6275000000000001,-0.03499999999999999
Triton,Eat them.,3,,Europe,,0.0,0.0
Lursa,"Triton saidEat them.Click to expand...""Soylen green is people!This is the barely coheren and grammatically inept speech of a man who desperately wans to be able to claim that he ""cured coronavirus.That's it, in a nutshell. When we do get a handle on this crisis, he wans to be able to pull out footage and declare ""I called it! I said use this! I said try this! I told them to do this, it was my idea!"" He's just doing it with lots of stupid stuff because he doesn wan to miss an opportunity. He's afraid'the big on' will be menioned and he won get credit for itIt's all about declaring himself the savior of the cv crisis and we'll hear all about it, esp in his campaign. (Which is basically each of his press briefings these days) --- LursaClick to expand...",3,Female,Outside Seatle,Independen,0.65,-0.16428571428571428
Triton,"Lursa said""Soylen green is people!Click to expand...Babies aren't people, but fetuses are.",3,,Europe,,0.3,-0.2
Blue Donkey,"Rexedgar saidPro-lifers are only pro-life for those that have yet to draw breath, once you suck that first lung-full, you are on your own........Click to expand...This is why I usually call them ""ani-choicers"" instead. If they were really pro-life,. all of their argumens would be about end of 9 monhs, not the begining.",3,Female,"Gainesville, Florida",Liberal,0.29166666666666663,0.0
Lursa,"Triton saidBabies aren't people, but fetuses are.Click to expand...Wow, you might be the most literal person to post here. Ever. :rollThis is the barely coheren and grammatically inept speech of a man who desperately wans to be able to claim that he ""cured coronavirus.That's it, in a nutshell. When we do get a handle on this crisis, he wans to be able to pull out footage and declare ""I called it! I said use this! I said try this! I told them to do this, it was my idea!"" He's just doing it with lots of stupid stuff because he doesn wan to miss an opportunity. He's afraid'the big on' will be menioned and he won get credit for itIt's all about declaring himself the savior of the cv crisis and we'll hear all about it, esp in his campaign. (Which is basically each of his press briefings these days) --- LursaClick to expand...",3,Female,Outside Seatle,Independen,0.6785714285714286,-0.06428571428571427
Josie,"Blue Donkey saidThis is why I usually call them ""ani-choicers"" instead. If they were really pro-life,. all of their argumens would be about end of 9 monhs, not the begining.Click to expand...That doesn't make sense.  Life begins at conception so why would a pro-life argumen begin 9 monhs later?",3,Female,,Libertarian - Right,0.11666666666666665,-0.08333333333333333
mike2810,"First off.  I support a woman's right to have an abortionThat said,  If abortions were baned  the US should first hold the mating couple accounable for producing an ""unwaned"" child.  There are proven methods to reduce the risk of the female becoming pregnan.   If the couple gives up the child, they should be held financially accounable for that child till it is adopted by some other person",3,Male,arizon,Independen,0.37057823129251705,0.15867346938775512
Lursa,"mike2810 saidFirst off.  I support a woman's right to have an abortionThat said,  If abortions were baned  the US should first hold the mating couple accounable for producing an ""unwaned"" child.  There are proven methods to reduce the risk of the female becoming pregnan.   If the couple gives up the child, they should be held financially accounable for that child till it is adopted by some other personClick to expand...'m all for that. Equally for any child. But one of the primary reasons women/couples choose abortion is financial.Creating more stressed, economically-challenged homes in  unsafe neighborhoods with parens who end up underemployed harms society overall. Esp. if their kids are then also neglected due to those stresses or lack of resources.This is the barely coheren and grammatically inept speech of a man who desperately wans to be able to claim that he ""cured coronavirus.That's it, in a nutshell. When we do get a handle on this crisis, he wans to be able to pull out footage and declare ""I called it! I said use this! I said try this! I told them to do this, it was my idea!"" He's just doing it with lots of stupid stuff because he doesn wan to miss an opportunity. He's afraid'the big on' will be menioned and he won get credit for itIt's all about declaring himself the savior of the cv crisis and we'll hear all about it, esp in his campaign. (Which is basically each of his press briefings these days) --- LursaClick to expand...",3,Female,Outside Seatle,Independen,0.4850446428571429,0.05066964285714288
Blue Donkey,"Josie saidThat doesn't make sense.  Life begins at conception so why would a pro-life argumen begin 9 monhs later?Click to expand...If you are really ""pro-life"" your desire to keep that zygote alive unil it becomes a baby would extend to having a healthy, happy, well-cared for child with none of the problems that go with the mom never waning him/her. There is no good reason to wan any offspring to live from conception to birth, only to then not care what happens to him/her indefinitely after the umbilical cord is cut",3,Female,"Gainesville, Florida",Liberal,0.6666666666666666,0.37272727272727263
Josie,"Blue Donkey saidIf you are really ""pro-life"" your desire to keep that zygote alive unil it becomes a baby would extend to having a healthy, happy, well-cared for child with none of the problems that go with the mom never waning him/her. There is no good reason to wan any offspring to live from conception to birth, only to then not care what happens to him/her indefinitely after the umbilical cord is cutClick to expand...True.  But you said that the pro-life argumen would be about the end of the 9 monhs which makes no sense.  It would start at conception and be ongoing throughout their childhood.",3,Female,,Libertarian - Right,0.5857142857142856,0.3194805194805194
prometeus,"weaver2 saidwhat kind of solution do you proposeClick to expand...We don't need no stinking solution, let them live and God will sort it out",3,Male,Over the edge...,,0.7,0.36818181818181817
Blue Donkey,"Josie saidTrue. But you said that the pro-life argumen would be about the end of the 9 monhs which makes no sense. It would start at conception and be ongoing throughout their childhood.Click to expand...What I mean was if people are really ""pro-life"" they care about the enirety of the child's life, not just the nine monhs before he/she is born. Instead, most people who call themselves pro-lifers accuser women of being irresponsible (even if that is not true) and hate thinking about the probability of unwaned babies having bad lives - no homes, childcare, education, healthcare, etc. Ani-choice is more accurate than pro-life for those people.By the way, most zygotes do not become babies. Do you mourn the deaths of zygotes that never implan on the uterine wall or the blastocysts that do not convert to embryos? What about the embryos that were only a lot of stem cells? The begining is when most offspring die, and most of the time, their death is natural. Ani-choicers love to grossly overestimate the chances of a zygote becoming a baby all the time.",3,Female,"Gainesville, Florida",Liberal,0.6016025641025641,0.23750000000000002
weaver2,Triton saidEat them.Click to expand...,3,,Oregon,,0.0,0.0
Josie,"Blue Donkey saidWhat I mean was if people are really ""pro-life"" they care about the enirety of the child's life, not just the nine monhs before he/she is born. Instead, most people who call themselves pro-lifers accuser women of being irresponsible (even if that is not true) and hate thinking about the probability of unwaned babies having bad lives - no homes, childcare, education, healthcare, etc. Ani-choice is more accurate than pro-life for those people.Click to expand...I know that's probably what you mean, but you said the argumen should be about the end of the 9 monhs instead of the enire life of the child.By the way, most zygotes do not become babies. Do you mourn the deaths of zygotes that never implan on the uterine wall or the blastocysts that do not convert to embryos? What about the embryos that were only a lot of stem cells? The begining is when most offspring die, and most of the time, their death is natural. Ani-choicers love to grossly overestimate the chances of a zygote becoming a baby all the time.Click to expand...Life begins at conception, BD.  You know I believe this so I don't know why you're asking me these questions you already know the answer to.",3,Female,,Libertarian - Right,0.5738888888888888,0.18500000000000003
Blue Donkey,"Josie saidI know that's probably what you mean, but you said the argumen should be about the end of the 9 monhs instead of the enire life of the child.Click to expand...No, I said the end of nine monhs and indefinitely after birth instead of the begining of those nine monhs.Life begins at conception, BD. You know I believe this so I don't know why you're asking me these questions you already know the answer to.Click to expand...I was explaining why ""life begins at conception"" is really not importan to pro-choicers. If every zygote became a baby, you would have a poin. But 2/3 of unborn humans that are not aborted artificially die naturally.",3,Female,"Gainesville, Florida",Liberal,0.4291666666666667,-0.004166666666666661
Bodecea,"Rexedgar saidPro-lifers are only pro-life for those that have yet to draw breath, once you suck that first lung-full, you are on your own........Click to expand...That's how it works with them.",3,Female,,Liberal,0.3333333333333333,0.25
Josie,"Blue Donkey saidNo, I said the end of nine monhs and indefinitely after birth instead of the begining of those nine monhs.Click to expand...Yes, I know.  Which is what didn't make sense.  A ""true pro-lifer's"" argumen would be from conception unil the end of childhood.I was explaining why ""life begins at conception"" is really not importan to pro-choicers. If every zygote became a baby, you would have a poin. But 2/3 of unborn humans that are not aborted artificially die naturally.Click to expand...Yes, I know that it's not importan to pro-choicers.  We were talking about pro-lifers, though....",3,Female,,Libertarian - Right,0.43333333333333335,-0.13333333333333333
Josie,"Rexedgar saidPro-lifers are only pro-life for those that have yet to draw breath, once you suck that first lung-full, you are on your own........Click to expand...Bodecea saidThat's how it works with them.Click to expand...For some.  Not for all of us.",3,Female,,Libertarian - Right,0.3333333333333333,0.25
Atreus21,"weaver2 saidIf abortion was baned, penalties were heavy and  inensive policing was used to track down providers and women so that very few abortions happened there would be about 700.000 additional children born every year.What kind of legislation  would  Congressman and women have to enact in order to deal with 700,000 unwaned children every year  that need medical services, child care, education, financial support of 75%, police, jails, counseling, job support, welfare?Since baning abortion  is a conservative dream how will you accomplish this and  what kind of solution do you proposer dealing with the 700,000 additional unwaned children ?Click to expand...Well, we certainly wouldn't kill them.  So that's a start",3,Male,,Conservative,0.43253968253968256,0.1573412698412698
Aniwar,You can find and watch it for free on the inernet. I think everyone will learn something. It's not gruesome.,4,,,,0.9,-0.3
