Poster,Content,Thread,Gender,Location,Political_leaning
rahl,"GummyVitamins saidClick to expand...Thank you for again conceding the fact that you, trump, nor his lawyers have any evidence what so ever of fraud.",1,Male,,Independen
GummyVitamin,"rahl saidThank you for again conceding the fact that you, trump, nor his lawyers have any evidence what so ever of fraud.Click to expand...Yea, that's what happened.",1,,,
joko104,"rahl saidThank you for again conceding the fact that you, trump, nor his lawyers have any evidence what so ever of fraud.Click to expand...Thank you for conceding that Presiden Trump actually won re-election",1,,,
joko104,mrjurrs saidThose are the elected officials responsible for executing elections.Click to expand...You have no clue how elections happen - none - and the secretary of state is a political position on partisan appoinmen,1,,,
GummyVitamin,joko104 saidYou have no clue how elections happen - none - and the secretary of state is a political position on partisan appoinmenClick to expand...htps://i.pinimg.com/originals/05/53/30/0553306d21434c4c6b895f8cda36573f.gif,1,,,
joko104,GummyVitamins saidhtps://i.pinimg.com/originals/05/53/30/0553306d21434c4c6b895f8cda36573f.gifClick to expand...htps://media.makeameme.org/created/use-your-brain-5aa740.jpg,1,,,
GummyVitamin,joko104 saidhtps://media.makeameme.org/created/use-your-brain-5aa740.jpgClick to expand...Yup,1,,,
uptower,"joko104 saidWe are going ino the 3rd week after the election and over a dozen House races are still undecided.When does the voting REALLY stop? How can anyone defend this election process?Click to expand...F**k me, people are...are...they're voting! There's nothing more undemocratic than that",1,Male,Behind you - run,Other
post,"joko104 saidYou have no clue how elections happen - none - and the secretary of state is a political position on partisan appoinmenClick to expand...You have no clue Trump even lost, let alone what beat him. He is literally a force of death, conamination, sabotage, corruption, just for the sake of doing it all, kick backs only sweeten the obsessive inclinationWhat does this say about his 73 million supporters and our prospects of living among them in a conaminated, guted, mined out, lifeless landscape, air, and water? Their revolt against science of all disciplines is killing hundreds of thousands, right before our eyes, what about the long term damage of this molotov rooster-tail of a political bowel movemenDonald Carnage TrumpTrump rolled back more than 125 environmenal safeguards ...www.washingtonpost.comxe2x80xba climate-environmenxe2x80xba tru...Oct 30, 2020xe2x80x94 Presiden Trump has weakened or wiped out more than 125 rules and policies aimed at protecting the nation's air, water and land since taking ...List of reporting of other Trump carnageIn the Media - Environmenal & Energy Law Program - Harvard Law Schooleelp.law.harvard.edu",1,,,
vegas gian,Any fraud case been won yet?  Anyone?  Bueller?,1,,,
Aristaeus,"Mycroft saidThere is no ""most likely"" about it.  He told you quite clearly why the courts would decide...and he was rightClick to expand...The courts are not deciding anything; they're throwing out all of Trump's lawsuits.",1,Male,UK,Socialist
Juks,"How can anyone oppose it despite all the facts, proofs, court rulings and statemens made by both parties officials?",1,,,Socialist
rocket88,"Mycroft saidWe all knew this was going to last weeks and Trump told us it would be decided in the courts.  The Trump haters didn't agree (did they know about the fraud about to be commited?)...they said Biden in a landslide.No...nobody can defend this.  Thanks to the Trump haters, we all just have to wait and see how it plays outClick to expand...Yes we all knew. (Eye rollThis is why it was essenial to confirm Baret so quickly.  So the Supreme Court could invalidate the election , rule that there should be no election ever again unil the Republican party (except for Mit Romney and anyone who doesn't spit on John McCain grave) decides we are ready to have another.",1,Male,A very blue stat,Independen
rocket88,Aristaeus saidThe courts are not deciding anything; they're throwing out all of Trump's lawsuits.Click to expand...Because they've decided that there's no evidence.,1,Male,A very blue stat,Independen
wt78640,"AJG saidWe didn't? I'm prety sure most of us anicipated the possibility that Trump would challenge the results in court. We just recognize that likely would have happened regardless of whether there's any proof of widespread voter fraud or not. And yes, we can defend this unil it's proven that anything resembling widespread voter fraud actually exists. Based on the way the courts have been setling these cases so far, I'm guess the answer is that they probably won'tClick to expand...The idea thatxe2x80x9cwidespreadxe2x80x9d (over the anounced margin of victory?) voter fraud must be proved is ridiculous, either the voting process was designed and implemened to preven the possibility ofxe2x80x9cwidespreadxe2x80x9d voter fraud or it was not.  Once a secret ballot has been cast, accepted and couned there is (or should be) no way to undo that single ballotFor example, if the signature matching process used (for mail-in ballots) can be proven to have allowed any unregistered, dead or incapacitated voters to havexe2x80x9ctheirxe2x80x9d ballots accepted (under their names) then that provesxe2x80x9cwidespreadxe2x80x9d voter fraud is possible.  BTW, it takes exactly one fraudulen ballot to negate (or double) the impact of a legitimate voterxe2x80x99s ballot",1,Male,"Uhland, Texas",Libertarian
chuckiechan,"Donald Trump transitionxe2x80x98trashedxe2x80x99 by Electoral College challenges,xe2x80x98Resistancexe2x80x99Starkly differen tales of two presidenial transitions have played out in Washingtonm.washingtonimes.comStarkly differen tales of two presidenial transitions have played out in WashingtonIn 2016, Democrats, Obama administration officials and liberal media moved quickly to target Presiden-elect Trump. Over 73 days, there were calls for impeachmen, a resistance movemen, atempts to infiltrate the Electoral College, false opposition research and FBI surveillance, a Washington Times examination shows.Four years later, liberal Democrats and media are urging Republicans to rally around presumptive Presiden-elect Joseph R. Biden and hisxe2x80x9cunitxe2x80x9d message.Click to expand...You can take your unity message and shove it up your ass.Democrats are expecting the Republicans to play ino thexe2x80x9cbatered wife syndromexe2x80x9d, and wear sunglasses and long sleeves to coverup the wounds.Well like it or not, Biden will get his. Not through official chanels like the democrats did with the FBI and inelligence services, or the corrupt media, but through public opinion over the Bidenxe2x80x99s criminal conduct with China. The democrats for the most part completely ignored China. Now we all know why. Damn near every God damn one of them has Chinxe2x80x99s hand in their pockets, and the media ignored it. China knows Americaxe2x80x99s biggest weakness and how to exploit it: buying Americaxe2x80x99s politicians so they can quietly chip away at us.The Biden candidacy was a fraud. Itxe2x80x99s as simple as that",2,Male,California Caliphat,Independen
Slavister,"Trump has always had the divisive message - us vs THEM with ""THEM"" being democrats, blue states, scienists, other counries, immigrans, people of color, gays, women, who, and anyone disagreeing with Trump on anything or even having appearance of possible disagreemen with him... I am prety sure ""us"" included Trump circle, his voter base and Putin, Kim and few other dictators.Biden has been giving the opposite message of unity.It surprises you that Trump got resistance while Joe's message is unifying?",2,,,
Cork,Stop reading stuff from propaganda websites!!  Holy shit Obama welcomed him and gave him a transition within 2 days after ALL the shit Trump talked about Obama over the years.,2,Male,,Independen
exoplanet,"It's a ridiculous argumen to try to conflate the actions of ""Democrats"" with a siting Presiden.  As much as he acts like it, Trump isn't just someon's crazy uncle tweeting conspiracy theories on Twiter.If Trump wans recouns, fine. If he wans investigations, fine. But claiming that he won states that he clearly didn't, and constanly spreading lies and misinformation to the public is dangerous to our democracy.",2,Male,,
TomFit,"chuckiechan saidDonald Trump transitionxe2x80x98trashedxe2x80x99 by Electoral College challenges,xe2x80x98Resistancexe2x80x99Starkly differen tales of two presidenial transitions have played out in Washingtonm.washingtonimes.comYou can take your unity message and shove it up your ass.Democrats are expecting the Republicans to play ino thexe2x80x9cbatered wife syndromexe2x80x9d, and wear sunglasses and long sleeves to coverup the wounds.Well like it or not, Biden will get his. Not through official chanels like the democrats did with the FBI and inelligence services, or the corrupt media, but through public opinion over the Bidenxe2x80x99s criminal conduct with China. The democrats for the most part completely ignored China. Now we all know why. Damn near every God damn one of them has Chinxe2x80x99s hand in their pockets, and the media ignored it. China knows Americaxe2x80x99s biggest weakness and how to exploit it: buying Americaxe2x80x99s politicians so they can quietly chip away at us.The Biden candidacy was a fraud. Itxe2x80x99s as simple as thatClick to expand...Sorry, but the election in 2016 was preceded by a year and a half of Trump race baiting, incitemen to violence, a host of lies, clear self dealing and obvious corruption, and pleny of evidence that a Trump Administration was going to be as incompeten, trashy and corrupt as his campaign had beenAs forxe2x80x9cfalse opposition researchxe2x80x9d, there has been pleny in this election. Ham fisted atempts, to be sure (as just about everything Trump does is). But failed and false none the less.You donxe2x80x99t have a shred of evidence to support this idiotic ran of yours, and we both know itSpare us any more of Crazy Uncle Rudy and Steve Banon.  Only a fool even listens to these clowns anymore.",2,Male,,Liberal
Checkerboard Strangler,chuckiechan saidYou can take your unity message and shove it up your ass.Click to expand...That's one helluva big pile of but-hurt,2,Male,Los Angeles,
Inegrityrespec,"TomFitz saidSorry, but the election in 2016 was preceded by a year and a half of Trump race baiting, incitemen to violence, a host of lies, clear self dealing and obvious corruption, and pleny of evidence that a Trump Administration was going to be as incompeten, trashy and corrupt as his campaign had beenAs forxe2x80x9cfalse opposition researchxe2x80x9d, there has been pleny in this election. Ham fisted atempts, to be sure (as just about everything Trump does is). But failed and false none the less.You donxe2x80x99t have a shred of evidence to support this idiotic ran of yours, and we both know itSpare us any more of Crazy Uncle Rudy and Steve Banon.  Only a fool even listens to these clowns anymore.Click to expand...Who listen's to senile Joe?  Can't be too bright to do that",2,Male,,
justabubba,"chuckiechan saidDonald Trump transitionxe2x80x98trashedxe2x80x99 by Electoral College challenges,xe2x80x98Resistancexe2x80x99Starkly differen tales of two presidenial transitions have played out in Washingtonm.washingtonimes.comYou can take your unity message and shove it up your ass.Democrats are expecting the Republicans to play ino thexe2x80x9cbatered wife syndromexe2x80x9d, and wear sunglasses and long sleeves to coverup the wounds.Well like it or not, Biden will get his. Not through official chanels like the democrats did with the FBI and inelligence services, or the corrupt media, but through public opinion over the Bidenxe2x80x99s criminal conduct with China. The democrats for the most part completely ignored China. Now we all know why. Damn near every God damn one of them has Chinxe2x80x99s hand in their pockets, and the media ignored it. China knows Americaxe2x80x99s biggest weakness and how to exploit it: buying Americaxe2x80x99s politicians so they can quietly chip away at us.The Biden candidacy was a fraud. Itxe2x80x99s as simple as thatClick to expand...he only way this post would have pleased me more would have been seeing wet tear stains upon the pageplease keep this whiny shit comin",2,Male,,Independen
justabubba,Cork saidStop reading stuff from propaganda websites!!  Holy shit Obama welcomed him and gave him a transition within 2 days after ALL the shit Trump talked about Obama over the years.Click to expand...'mondonald j putin and melanie were gracious and gave Michelle Obama a set of watermelon forks prior to the inauguration* creative license used. the gift was actually a fried chicken bowl,2,Male,,Independen
chuckiechan,"Checkerboard Strangler saidThat's one helluva big pile of but-hurtClick to expand...How does it feel? You only preach unity after you win ""By any means necessary"".Trump voter have a right to a fair and free election with an accurate coun. I can't see how you have a problem with thatBTW, Biden didn't even run a campaign, took no hard ball questions, and let the media and tech bury his scandals, and censor criticism. Who will be runing the counry? Big tech and Wall street, kissing Chin's ass for more cheap products because ""American labor is too high""? It's going to be a 2 year clown show. If we don't have a shooting war with China it will be a miracle. They know a chump when they see one.",2,Male,California Caliphat,Independen
Mr Person,"Curious.The Trumpists who spen years doing absolutely awful things and telling us ""look at what you made us do"" are leaning on an analogy to batered woman syndrome.Another accusation that's really a confession? Realization that they have wronged non-Trumpists time and time again for years without any excuse or justificationchuckiechan saidYou can take your unity message and shove it up your ass.Democrats are expecting the Republicans to play ino thexe2x80x9cbatered wife syndromexe2x80x9d, and wear sunglasses and long sleeves to coverup the wounds.Well like it or not, Biden will get his. Not through official chanels like the democrats did with the FBI and inelligence services, or the corrupt media, but through public opinion over the Bidenxe2x80x99s criminal conduct with China. The democrats for the most part completely ignored China. Now we all know why. Damn near every God damn one of them has Chinxe2x80x99s hand in their pockets, and the media ignored it. China knows Americaxe2x80x99s biggest weakness and how to exploit it: buying Americaxe2x80x99s politicians so they can quietly chip away at us.The Biden candidacy was a fraud. Itxe2x80x99s as simple as thatClick to expand...Do you have any idea how much shit Trump's companies make in China? Did you notice how Ivanka got a whole bunch of Chinese trademarks after Trump talked to Xi in private?I swear. Every single one of Trumpist' accusations is a confession. It's scary how unaware they are of this.",2,Male,Massachuset,Other
Mr Person,"chuckiechan saidHow does it feel?Click to expand...How does what feel? You people spen four years calling liberals ""snowflakes"". You spen four years saying ""**** your feelings."" You spen four years talking about ""liberal tears"" and posting pictures of that one moron who screamed at the sky one time.What you are doing now - lying your asses off 24/7 about voter fraud that even Trump's lawyers say they are not alleging and do not have any evidence of - feels just like the last four years, and the nine before those. Y'know, the decade you spen sayin1. The first black presiden is lying about his place of birth.2. The first black presiden is lying about his religion3. The first black presiden hates white people.4. The first black presiden hates America.5. The first black presiden is actively trying to destroy America.6. The first black presiden is trying to use AGW to transfer our wealth and ""sovereigny"" to third world nations, to make the US a third world nationThe only thing I feel is depression and worry over just how uterly deluded, dishonest, and unAmerican 70 million citizens are. Democracy is just about broken. You broke it and as you were breaking it, screamed ""LOOK AT WHAT YOU ARE MAKING ME DO!"" at non-Trumpists.And now you're going to spend the next four years lying your asses off, just like the last thirteen. And as always, you'll tell yourself it's OK and in fact it's our fault that you are lying.",2,Male,Massachuset,Other
elemen94,"chuckiechan saidDonald Trump transitionxe2x80x98trashedxe2x80x99 by Electoral College challenges,xe2x80x98Resistancexe2x80x99Starkly differen tales of two presidenial transitions have played out in Washingtonm.washingtonimes.comYou can take your unity message and shove it up your ass.Democrats are expecting the Republicans to play ino thexe2x80x9cbatered wife syndromexe2x80x9d, and wear sunglasses and long sleeves to coverup the wounds.Well like it or not, Biden will get his. Not through official chanels like the democrats did with the FBI and inelligence services, or the corrupt media, but through public opinion over the Bidenxe2x80x99s criminal conduct with China. The democrats for the most part completely ignored China. Now we all know why. Damn near every God damn one of them has Chinxe2x80x99s hand in their pockets, and the media ignored it. China knows Americaxe2x80x99s biggest weakness and how to exploit it: buying Americaxe2x80x99s politicians so they can quietly chip away at us.The Biden candidacy was a fraud. Itxe2x80x99s as simple as thatClick to expand...I love a message that originated in Russia that menions the bogus Russian probe. They are shameless self promoters.",2,Male,Pensylvania,Liberal
j brown's body,"Trump supporters very much reflect the batered spouse syndrome. They support a man who basically abuses them and lies to them. and when this is poined out to them, they rush to his side. His first wife is a real example of this.",2,Male,,Socialist
j brown's body,"chuckiechan saidDonald Trump transitionxe2x80x98trashedxe2x80x99 by Electoral College challenges,xe2x80x98Resistancexe2x80x99Starkly differen tales of two presidenial transitions have played out in Washingtonm.washingtonimes.comYou can take your unity message and shove it up your ass.Democrats are expecting the Republicans to play ino thexe2x80x9cbatered wife syndromexe2x80x9d, and wear sunglasses and long sleeves to coverup the wounds.Well like it or not, Biden will get his. Not through official chanels like the democrats did with the FBI and inelligence services, or the corrupt media, but through public opinion over the Bidenxe2x80x99s criminal conduct with China. The democrats for the most part completely ignored China. Now we all know why. Damn near every God damn one of them has Chinxe2x80x99s hand in their pockets, and the media ignored it. China knows Americaxe2x80x99s biggest weakness and how to exploit it: buying Americaxe2x80x99s politicians so they can quietly chip away at us.The Biden candidacy was a fraud. Itxe2x80x99s as simple as thatClick to expand...Gosh, and we were so expecting your cooperation on unity. This is a real surprise.",2,Male,,Socialist
OpportunityCost,"Mr Person saidHow does what feel? You people spen four years calling liberals ""snowflakes"". You spen four years saying ""**** your feelings."" You spen four years talking about ""liberal tears"" and posting pictures of that one moron who screamed at the sky one time.What you are doing now - lying your asses off 24/7 about voter fraud that even Trump's lawyers say they are not alleging and do not have any evidence of - feels just like the last four years, and the nine before those. Y'know, the decade you spen sayin1. The first black presiden is lying about his place of birth.2. The first black presiden is lying about his religion3. The first black presiden hates white people.4. The first black presiden hates America.5. The first black presiden is actively trying to destroy America.6. The first black presiden is trying to use AGW to transfer our wealth and ""sovereigny"" to third world nations, to make the US a third world nationThe only thing I feel is depression and worry over just how uterly deluded, dishonest, and unAmerican 70 million citizens are. Democracy is just about broken. You broke it and as you were breaking it, screamed ""LOOK AT WHAT YOU ARE MAKING ME DO!"" at non-Trumpists.And now you're going to spend the next four years lying your asses off, just like the last thirteen. And as always, you'll tell yourself it's OK and in fact it's our fault that you are lying.Click to expand...Strawmen as far as the eye can see! Someone get a match.",2,Male,,Conservative
res borrachos,"justabubba saidhe only way this post would have pleased me more would have been seeing wet tear stains upon the pageplease keep this whiny shit cominClick to expand...It is delish, isn't it",2,Female,New Englan,Moderat
rouble13,"chuckiechan saidDonald Trump transitionxe2x80x98trashedxe2x80x99 by Electoral College challenges,xe2x80x98Resistancexe2x80x99Starkly differen tales of two presidenial transitions have played out in Washingtonm.washingtonimes.comYou can take your unity message and shove it up your ass.Democrats are expecting the Republicans to play ino thexe2x80x9cbatered wife syndromexe2x80x9d, and wear sunglasses and long sleeves to coverup the wounds.Well like it or not, Biden will get his. Not through official chanels like the democrats did with the FBI and inelligence services, or the corrupt media, but through public opinion over the Bidenxe2x80x99s criminal conduct with China. The democrats for the most part completely ignored China. Now we all know why. Damn near every God damn one of them has Chinxe2x80x99s hand in their pockets, and the media ignored it. China knows Americaxe2x80x99s biggest weakness and how to exploit it: buying Americaxe2x80x99s politicians so they can quietly chip away at us.The Biden candidacy was a fraud. Itxe2x80x99s as simple as thatClick to expand...I don see anything being done about anything. They will feed everyone some lip service and stall and delay doing anything about it unil it fades away.How long have people been waiting to see this report from durham. Thats a dud at this poin. They did nothing about the leaked allegations against kavanaugh either.There isn any accounability and its not the lefts fault. I don see the republicans or even trump himself doing anything to expose itIf you think there will be some kind of accounability from voters, i say great. What price are they gona make these crooks pay?",2,,,
Visbek,"chuckiechan saidYou can take your unity message and shove it up your ass.Click to expand...Well, as long as you're not biter about losing.Back in the real world, the investigations predated Election Day, and were a result of highly suspicious communications, by ridiculously suspicious campaign staffers, between the campaign and the Russian governmen and its agens. If they hadn't successfully obstructed justice, we might know a litle more about what the Russians actually fed to the campaignMeanwhile, Clinon conceded within 24 hours, and Fox News accused Democrats of... doing all the things Republicans are doing right now. They decriedxe2x80xa2 Allegations of fraudxe2x80xa2 Refusing to accept defeatxe2x80xa2 Accusations of ""stealing the electionxe2x80xa2 Demanding a redo / ""extra iningsxe2x80xa2 Refusing to accept the results as *cough* reported by the mediaxe2x80xa2 Atacking the electoral processxe2x80xa2 Steal elections via lawsuit htps://twiter.com/i/web/status/1325951831667699712If you're looking for hypocrisy, maybe you're looking in the wrong place.Well like it or not, Biden will get his. Not through official chanels like the democrats did with the FBI and inelligence services, or the corrupt media, but through public opinion over the Bidenxe2x80x99s criminal conduct with China.Click to expand...Oh, really? Does Biden have a secret bank accoun in China? Was he trying to build a luxury hotel there, perhaps? Did relatives of his son-in-law get caught promising access to the Presiden and visas to Chinese nationals in exchange for investing in a US real estate projectSorry not sorry, but your projection is off the charts.",2,,,Other
joko104,"Jetboogieman saidNow this is all hypothetical okay, Just a thought exercise and let me say on this issue, if there's one thing of comfort is that Trump was never actually able to go after his political opponens, even with lackies because the law is actually the law, or so it seems, but the office of Presiden is an ineresting one when it comes to his own conductSo this has a couple of componens and one is related to William Barrs belief in the Unitary Executive.So Barrs belief in the Unitary Executive is that there is only two ways to remove a Presiden, the ballot box and impeachmenNow, who actually enforces Trump leaving office should he refuse to?What Law enforcemen agency would actually escort him from the grounds?Is that not under the purview of the Atorney General?And so if Trump commits Crimes to stay in office, Barr says well... Due to his belief in the Unitary executive, Trump is immune from criminal prosecution and because ""we don't recognize the results of the election due to mass fraud"", so that's ballot box gone.The courts say, Trumps term is over, he must leave and Barr says well, I won't carry out that order because I believe the only other method of removing him is impeachmen, won't happen because Republicans in the senate will never remove him, not ever.The military will be hesitan to get involved to set that precedence, so just as a thought exercise that will hopefully never, ever, ever have to play out, what would happen in this situationClick to expand...Trump Derangemen Syndrome is strong is you. How are you going to survive if Trump is gone?",3,,,
joko104,W_Heisenberg saidThis is exactly what deranged militia members dream of happening as they go to bed every night clutching their weapons and ammo.Click to expand...What type of weapons do you have for this?,3,,,
W_Heisenberg,joko104 saidWhat type of weapons do you have for this?Click to expand...Are you talking to yourself again,3,Male,,Moderat
joko104,W_Heisenberg saidAre you talking to yourself againClick to expand...Everyone on this forum is talking to themselves. Do you actually believe this forum is reality? LOL!,3,,,
j brown's body,"Personally, I would send the postal inspectors to take him out They don't mess around. But I have heard that the responsibility would fall to the Secret Service.",3,Male,,Socialist
EMNofSeatle,What if...? saidThey're gona be surprised when they discover how many in their ranks are actually democrats who bought themselves some trump and Q gear in order to infiltrate them.Click to expand...Unlikely. Studies have shown liberals donxe2x80x99t understand conservatives or conservative viewpoins. Also conservative worldview requires viewing the world in a maner alien to the average democrat. It would be difficult for them to credibly infiltrate.,3,Male,,Very Conservative
CaughtInThe,A building isn't power.,3,,,
EMNofSeatle,"Mr Person saidIt's always been one of the fatal flaws in Democracy: it only works if everyone respects the rules. A POTUS with enough power in the right places could ignore the courts, ignore the constitution, and do whatever he pleases. Only force could couner itClick to expand...As Obama proved.",3,Male,,Very Conservative
Rexedgar,"Grand Mal saidMy solution- get all the servans out and let nobody else in. I give him 24 hours, tops. 48 if there's lots of leftovers in the fridge.Click to expand...Fast food doesnxe2x80x99t keep.....",3,Male,,Independen
rixare4kids,"W_Heisenberg saidTrump will leave office, but he will never concede. He will always claim the election was stolen so he can coninue to bilk his stupid, ignoran, uneducated supporters out of their hard-earned money.Trump is someone who is acting out the part of someone who had the election stolen from them.Click to expand...You do realize your 2016 presidenial candidate, Hillary Clinon whined, still whines that the election was stolen from her, and she recenly advised Biden not to concede should it appear that he lost the election to Trump.  Differen rules for your team, right",3,Female,S. California,Slightly Conservative
Rexedgar,"rixare4kids saidYou do realize your 2016 presidenial candidate, Hillary Clinon whined, still whines that the election was stolen from her, and she recenly advised Biden not to concede should it appear that he lost the election to Trump.  Differen rules for your team, rightClick to expand...Conext is your friend. Clinon conceded on Election Night. Her advice to Joe was not to concede on Election Night and look how things turned outHillary Clinon says Joe Biden should not concede on election nightHillary Clinon has a piece of advice for Democratic presidenial candidate Joe Biden: Whatever happens, do not concede defeat on the night of the Nov. 3 electionwww.reuters.com",3,Male,,Independen
W_Heisenberg,"rixare4kids saidYou do realize your 2016 presidenial candidate, Hillary Clinon whined, still whines that the election was stolen from her, and she recenly advised Biden not to concede should it appear that he lost the election to Trump.Click to expand...Clinon gave her concession speech...THE NEXT DAY...with margins slimmer than what Biden now has over Trump.Trump 2016 margin of victoryPa: 44,292 votesWisconsin: 22,748 votesMichigan: 10,704 votesBidenxe2x80x99s lead over Trump as of a few days ago (I'm too lazy to find the latest numbersPa: 45,616 votesWisconsin: 20,539 votesMichigan: 148,645 votesDo you anicipate this whiny, crybaby, Trump to give ANY concession speech...now or ever?Do you anicipate this whiny, crybaby, Trump to appear at the inauguration as Clinon did?Differen rules for your team, rightClick to expand...You lostSuck it up.Get over itStop whining.Grow up.Trump is a loser.Trump lost",3,Male,,Moderat
mrjurrs,"Jetboogieman saidNow this is all hypothetical okay, Just a thought exercise and let me say on this issue, if there's one thing of comfort is that Trump was never actually able to go after his political opponens, even with lackies because the law is actually the law, or so it seems, but the office of Presiden is an ineresting one when it comes to his own conductSo this has a couple of componens and one is related to William Barrs belief in the Unitary Executive.So Barrs belief in the Unitary Executive is that there is only two ways to remove a Presiden, the ballot box and impeachmenNow, who actually enforces Trump leaving office should he refuse to?What Law enforcemen agency would actually escort him from the grounds?Is that not under the purview of the Atorney General?And so if Trump commits Crimes to stay in office, Barr says well... Due to his belief in the Unitary executive, Trump is immune from criminal prosecution and because ""we don't recognize the results of the election due to mass fraud"", so that's ballot box gone.The courts say, Trumps term is over, he must leave and Barr says well, I won't carry out that order because I believe the only other method of removing him is impeachmen, won't happen because Republicans in the senate will never remove him, not ever.The military will be hesitan to get involved to set that precedence, so just as a thought exercise that will hopefully never, ever, ever have to play out, what would happen in this situationClick to expand...Secret Service, djt would be a danger to the new presiden",3,Male,The Bay,Progressive
