Poster,Content,Thread,Gender,Location,Political_leaning
cpwill,"Sheik Yerbuti saidThis is a sickness among Conservatives. They can't allow others to make these decision's for themselves.Click to expand...That's very ineresting.  Please tell me about these conservatives who wan to make my decision for me whether or not I will give to Charity (Medicaid, Food Stamps, TANF..), and who wan to make my decision for me on whether or not I should purchase health insurance, order a large soda, make my business wheelchair accessible, purchase a toilet with the non-prescribed gallon flush, purchase whatever kind of lightbulb I wan, etc. and so on and so forth ad nauseum.The poin here wasn't even whether or not abortion is a morally correct choice.  It is simply to poin out that it is not a morally correct choice for someone who recognizes that an unborn child is a human child.   lpast idenified himself as having been a pro-life individual who changed his mind once it was in his best inerest to do so, and then claimed that readopting his former position would be hypocrisy, rather than it's original abandonmenSay what you will about slaveowning founders, but only the ones who admited that slavery was evil and an abuse of God-given liberties were the hypocrites.",1,Male,USofA,Conservative
zgoldsmith23,cpwill saidwell that is a debate for the abortion forum.  the poin being that here lpast had explicitly stated it was his belief.Click to expand...'d say whether life is inherenly valuable is a fundamenal question that can be argued anywhere.,1,Male,TN,Libertarian
Gimmesometrut,"Conservative saidWhether you believe it or not, I really don't care but the 850,000 discouraged workers were not in the labor force last monh and weren couned as unemployed and that number is 31,000 more than the monh before. Your support of Obama is noted and I know he appreciates it. You are an Obama dream supporter.Click to expand...They remain discouraged because they encounered managers like you, managers that won't hire. Managers who give excuses like ""you have too large of a gap"" or ""I am not going to hire anyone because Obama is Presiden"".",1,Male,US Southwest,Liberal
winston53660,"Sheik Yerbuti saidSqueals a Bush supporter who voted to give Bush 4 more years in office after twice as many people became discouraged workers during his first 4 years than Obama.:roll::roll::rollSpare me your feigned concern for discouraged workers.Click to expand...Watch con flip flopAccording to Con unemploymen is a state issuezinOriginally Posted by GimmesometrutRemind me again....if a guy has been out of work for a while.....you won't hire him.conservativeFor a while? Two years? Yes I won't hire someone who has been out of work for 2 years, no initiative, no drive, and someone who has lived off the taxpayers for too lonwinston53660 And your solution is...........conservativeMy solution is make the state address the problem not the Federal Taxpayers.htp://www.debatepolitics.com/2012-...on-tomorrow-saturday-9-et-w-134-926-a-92.htmlClick to expand...",1,,,
Conservative,"Gimmesometruth saidThey remain discouraged because they encounered managers like you, managers that won't hire. Managers who give excuses like ""you have too large of a gap"" or ""I am not going to hire anyone because Obama is Presiden"".Click to expand...You are absolutely correct, I was a total failure as my results show and all those former employees keeping in conact with me do so just to rub it in how bad I was. Futher what I did prior to my retiring 8 years ago is having a significan effect on the economic numbers today, just like the enire economy depends on how much Romney paid in taxes.You liberals have it all figured out. All a business has to do is go to the money tree in the backyard and collect enough cash to pay for the added costs Obama is adding to business. That is their civic duty to act like the govt. does, just coninue to spend money that they don't have. That is a brillian business strategy which hopefully as a self employed business person is adhering to.",1,Male,"Houston, TX",Conservative
OpportunityCost,Sheik Yerbuti saidSqueals a Bush supporter who voted to give Bush 4 more years in office after twice as many people became discouraged workers during his first 4 years than Obama.:roll::roll::rollSpare me your feigned concern for discouraged workers.Click to expand...Curious...aren you the one claiming that the drop in the participation rate isn from discouraged workers but from retiring baby boomers? If I remember correctly both you and AdamT make that claim quite a bitSo my question then becomes: if they are discouraged workers under Bush how are they NOT the same thing under Obama?,1,Male,,Conservative
OpportunityCost,"Gimmesometruth saidThey remain discouraged because they encounered managers like you, managers that won't hire. Managers who give excuses like ""you have too large of a gap"" or ""I am not going to hire anyone because Obama is Presiden"".Click to expand...And you know this from personal inerviews ino their hiring decisions or is this more assumption on your part",1,Male,,Conservative
Boo Radley,"OpportunityCost saidCurious...aren you the one claiming that the drop in the participation rate isn from discouraged workers but from retiring baby boomers? If I remember correctly both you and AdamT make that claim quite a bitSo my question then becomes: if they are discouraged workers under Bush how are they NOT the same thing under Obama?Click to expand...Part of the trouble with blaming presidens and just using numbers alone.  We need more information than just the numbers.  There is litle doubt retiring baby boomers effect some of these numbers.  Presidens don't conrol that.  In fact, there conrol very litle as it relates to the economy.",1,Male,,Liberal
OpportunityCost,"Boo Radley saidPart of the trouble with blaming presidens and just using numbers alone.  We need more information than just the numbers.  There is litle doubt retiring baby boomers effect some of these numbers.  Presidens don't conrol that.  In fact, there conrol very litle as it relates to the economy.Click to expand...I agree some, I disagree some---I do however wan consistency from those two. Doubt Ill get it, but Im gona try!If you get more number breakdown its easier for some policy wanker to twist to say what he wans it to unless you really examine the numbers yourself.",1,Male,,Conservative
Conservative,"Boo Radley saidPart of the trouble with blaming presidens and just using numbers alone.  We need more information than just the numbers.  There is litle doubt retiring baby boomers effect some of these numbers.  Presidens don't conrol that.  In fact, there conrol very litle as it relates to the economy.Click to expand...Actually part of the problem are so many people who don't understand the definition of leadership and the responsibility that goes with the title. I wan you to take the economic numbers to your supervisor over three years later and tell that you deserve four more years of employmen. Obama ran for the job and told the American people what he would do thus he seemed to understand what he would be evaluated on. You choose now not to accept the commitmen's Obama made now claiming the opposite of what Obama stated.He said he would halve the deficit in 4 years, he said his economic policies would have unemploymen a 5.6% by now. He claim that he would bring a new tone to D.C. and that he would offer the most transparen Administration. Apparenly you have a differen opinion as to the job than even he does. Didn't he say if he didn't turn the economy around in 4 years he would be a one term Presiden? What did he mean by that",1,Male,"Houston, TX",Conservative
AdamT,"OpportunityCost saidCurious...aren you the one claiming that the drop in the participation rate isn from discouraged workers but from retiring baby boomers? If I remember correctly both you and AdamT make that claim quite a bitSo my question then becomes: if they are discouraged workers under Bush how are they NOT the same thing under Obama?Click to expand...Some of the discouraged workers are leaving the workforce because they're really discouraged and others are leaving for demographic reasons.  About half the increase is due to baby boomer retiremens.  That was also a factor during Bush's terms, but it's accelerating as the meat of the baby boom generation hits retiremen age.",1,Male,,
Conservative,"AdamT saidSome of the discouraged workers are leaving the workforce because they're really discouraged and others are leaving for demographic reasons.  About half the increase is due to baby boomer retiremens.  That was also a factor during Bush's terms, but it's accelerating as the meat of the baby boom generation hits retiremen age.Click to expand...That certainly is your opinion and is noted. What you again fail to recognize is that in the ""official"" unemploymen number discouraged workers aren't couned and further what you ignore are the number of people actually enering the work force. Further retirees are part of the U-6 number but not part of the discouraged workers. The numbers are what they are and I am still waiting for you to tell me when the economy and the numbers become the responsibility of Obama?",1,Male,"Houston, TX",Conservative
winston53660,"Conservative saidThat certainly is your opinion and is noted. What you again fail to recognize is that in the ""official"" unemploymen number discouraged workers aren't couned and further what you ignore are the number of people actually enering the work force. Further retirees are part of the U-6 number but not part of the discouraged workers. The numbers are what they are and I am still waiting for you to tell me when the economy and the numbers become the responsibility of Obama?Click to expand...U-6 is just as official as U-3",1,,,
Gimmesometrut,OpportunityCost saidAnd you know this from personal inerviews ino their hiring decisions or is this more assumption on your partClick to expand...It is evidenced in national reporting and by the commens of con,1,Male,US Southwest,Liberal
Boo Radley,"OpportunityCost saidI agree some, I disagree some---I do however wan consistency from those two. Doubt Ill get it, but Im gona try!If you get more number breakdown its easier for some policy wanker to twist to say what he wans it to unless you really examine the numbers yourself.Click to expand...It dosn't mater who examines the numbers, as long as an honest effort to figure out what they mean.  There's a reason why Twain said there are lies, damn lies and statisitics.  If you don't know what the numbers mean, no mater who you are, the numbers are then meaningless.  I'm not asking any take anyon's word for anything.  I am, however, saying that the number alone don't tell the story.",1,Male,,Liberal
Conservative,winston53660 saidLike the difference btwn real and nominal numbers?:lamo:lamo:lamoClick to expand...Are curren numbers real or nominal? Do we pay debt service on real or nominal numbers?,2,Male,"Houston, TX",Conservative
winston53660,Conservative saidAre curren numbers real or nominal? Do we pay debt service on real or nominal numbers?Click to expand...Are we still paying on from when Reagan tripled the debt,2,,,
Conservative,"winston53660 saidAre we still paying on from when Reagan tripled the debtClick to expand...Come on,  Winston, I know you got the question, where is your answer? You have made a big deal out of real vs. nominal yet when challenged you do what you always do, run",2,Male,"Houston, TX",Conservative
Conservative,winston53660 saidAre we still paying on from when Reagan tripled the debtClick to expand...Apparenly in your world tripling the debt is worse than increasing the debt over 40% when the tripling of the debt took it up 1.7 trillion and the 40+% increase was 4.2 trillion. Wonder which one cost the taxpayer more?,2,Male,"Houston, TX",Conservative
winston53660,"Conservative saidCome on,  Winston, I know you got the question, where is your answer? You have made a big deal out of real vs. nominal yet when challenged you do what you always do, runClick to expand...Run from your outright fallacies?  LMAO",2,,,
Conservative,winston53660 saidRun from your outright fallacies?  LMAOClick to expand...So you don't have an answer which says a lot so what you do when proven wrong is change the subject,2,Male,"Houston, TX",Conservative
Gran,"winston53660 saidRun from your outright fallacies?  LMAOClick to expand...What were those fallacies? The numbers seem to speak for themselves.And as the American people are in the greatest debt in the history of their nation, with nothing to show for it, why is Ronald Reagan being discussed?Do you still not have a realistic plan of any sort or will you coninue with the idea that you can borrow ever more money in order to spend your way to prosperity?",2,Male,"Canada, Costa Rica",Independen
Rough Rider,"Conservative saidThe Obama results have put us in the toilet yet you ignore that. Thank your sons for their service. They voluneered for service. Do they know that you aren't supporting their missionClick to expand...As if this ""conservative"" hypocrite has any idea what ""supporting their mission"" actually means. It means very litle to people who risk nothing.",2,,,Cenrist
Conservative,"Rough Rider saidAs if this ""conservative"" hypocrite has any idea what ""supporting their mission"" actually means. It means very litle to people who risk nothing.Click to expand...Obama economic results in 2011,.4% GDP and 1.3% GDP growth in 2011(bea.gov25+ million unemployed or under employed Americans in 2011(bls.gov2.6 million fewer jobs(bls.gov4.2 trillion added to the debt in less than 3 years(U.S. Treasury SitDowngrade of the U.S. credit rating(S&P Rising Misery index 7.83 to 12.97 (The United States Misery Index By Year38-41% JAR and well over 50-55% disapproval ratings(Gallup",2,Male,"Houston, TX",Conservative
poweRob,"Conservative saidI have found that most liberals are immune to actual data and prefer feelings. What is it about liberalism that creates such loyalty that ignores facts? Still waiting for you to refute the facts and put them in proper conectObama economic results in 2011,.4% GDP and 1.3% GDP growth in 2011(bea.govClick to expand...It's turning around the Bush train-wreck of a trend as seen hereSource: bea.gov.... Ouch. That must hurtConservative said25+ million unemployed or under employed Americans in 2011(bea.govClick to expand...Fixing Bush's trends yet again as noted hereSource: Bureau of Labor Statistics. Don't that just suck for you?Conservative said2.6 million fewer jobs(bea.govClick to expand...So now conservatives give a **** about jobs when all their bills seem to revolve around abortion. Beter tell the Koch Brother's Tea Party Express to stop emailing small businesses and telling them not to hire just to make political poins...Tea Party Group Says Small Businesses Should Stop Hiring to Hurt ObamaConservative said4.2 trillion added to the debt in less than 3 years(U.S. Treasury SitClick to expand...And this has been debunked so many times its not even worth broaching yet againConservative saidDowngrade of the U.S. credit rating(S&PClick to expand...A Republican problem as noted by the S&P who did the downgrading...Why S&Pxe2x80x99s Downgrade is No JokeThe real impact of S&Pxe2x80x99s downgrade is political, not economic.Republicans played chicken with the debt limit and the S&P themselves said that was the reason why they downgraded. Yes, it was the Republican's faultConservative saidRising Misery index 7.83 to 12.97 (The United States Misery Index By Year38-41% JAR and well over 50-55% disapproval ratings(GallupClick to expand...Then you end with misery index and Job approval ratings which you should be doing a dance over but neither will unseat Obama with any of the GOP candidates out there right now. Due to your marriage to party politics, 2012 is going to be an extremely painful year for you.You have a cut and paste board with about three things on it. Repeating debunked garbage ad nauseam doesn't make them all the sudden become more viable. Consider your cut and paste garbage defeated and move onFolks, anytime you see him cuting and pasting this really debunked stupid **** in the future, just come to this thread copy and paste mine and throw it back in his face.",2,Male,New Mexico,Progressive
Conservative,"poweRob saidIt's turning around the Bush train-wreck of a trend as seen hereView atachmen 67117086Source: bea.gov.... Ouch. That must hurtFixing Bush's trends yet again as noted hereView atachmen 67117087Source: Bureau of Labor Statistics. Don't that just suck for you?So now conservatives give a **** about jobs when all their bills seem to revolve around abortion. Beter tell the Koch Brother's Tea Party Express to stop emailing small businesses and telling them not to hire just to make political poins...Tea Party Group Says Small Businesses Should Stop Hiring to Hurt ObamaAnd this has been debunked so many times its not even worth broaching yet againA Republican problem as noted by the S&P who did the downgrading...Why S&Pxe2x80x99s Downgrade is No JokeThe real impact of S&Pxe2x80x99s downgrade is political, not economic.Republicans played chicken with the debt limit and the S&P themselves said that was the reason why they downgraded. Yes, it was the Republican's faultThen you end with misery index and Job approval ratings which you should be doing a dance over but neither will unseat Obama with any of the GOP candidates out there right now. Due to your marriage to party politics, 2012 is going to be an extremely painful year for you.You have a cut and paste board with about three things on it. Repeating debunked garbage ad nauseam doesn't make them all the sudden become more viable. Consider your cut and paste garbage defeated and move onClick to expand...Obama economic results in 2011,.4% GDP and 1.3% GDP growth in 2011(bea.gov25+ million unemployed or under employed Americans in 2011(bls.gov2.6 million fewer jobs(bls.gov4.2 trillion added to the debt in less than 3 years(U.S. Treasury SitDowngrade of the U.S. credit rating(S&P Rising Misery index 7.83 to 12.97 (The United States Misery Index By Year38-41% JAR and well over 50-55% disapproval ratings(GallupYou have refuted nothing, when you add 4.2 trillion to the debt one would expect beter economic numbers unless you are a liberal and have such low standards",2,Male,"Houston, TX",Conservative
poweRob,"Conservative saidObama economic results in 2011,.4% GDP and 1.3% GDP growth in 2011(bea.gov25+ million unemployed or under employed Americans in 2011(bls.gov2.6 million fewer jobs(bls.gov4.2 trillion added to the debt in less than 3 years(U.S. Treasury SitDowngrade of the U.S. credit rating(S&P Rising Misery index 7.83 to 12.97 (The United States Misery Index By Year38-41% JAR and well over 50-55% disapproval ratings(GallupYou have refuted nothing, when you add 4.2 trillion to the debt one would expect beter economic numbers unless you are a liberal and have such low standardsClick to expand...You've been pwned!",2,Male,New Mexico,Progressive
Conservative,poweRob saidIgnore and repeat. You are still proving your ignorance is bliss.Click to expand...What you have ignored is it cost over 4.2 trillion added to the debt to get those kind of numbers. Obama JAR is 38-41% because of those numbers which you keep ignoring. Why are your standards with a liberal in the WH so low?You can show me gross job gain while ignoring net job lossYou can show me 1.3% GDP growth in 2011 while ignoring how much it cost to generate those numbersKeep ignoring the debt that it cost to create those numbers which I guess doesn't mater to you.,2,Male,"Houston, TX",Conservative
poweRob,Conservative saidWhat you have ignored is it cost over 4.2 trillion added to the debt to get those kind of numbers. Obama JAR is 38-41% because of those numbers which you keep ignoring. Why are your standards with a liberal in the WH so low?You can show me gross job gain while ignoring net job lossYou can show me 1.3% GDP growth in 2011 while ignoring how much it cost to generate those numbersKeep ignoring the debt that it cost to create those numbers which I guess doesn't mater to you.Click to expand...Run away.You've been pwned!,2,Male,New Mexico,Progressive
Misterveritis,Rough Rider saidFuny how so called conservatives think they have the monopoly on patriotism.Click to expand...Hmmm. Quandary. I think we do. Or do you believe the occasional exception on the left makes up the difference?,2,Male,"Hunsville, AL",Conservative
poweRob,"Misterveritis saidHmmm. Quandary. I think we do. Or do you believe the occasional exception on the left makes up the difference?Click to expand...ationalism =/= patriotism'd like to see you try to quanify patriotism to be able to show that they are more ""patriotic"". Nothing but more right-wing emotional triggers. ""MY flag is bigger than YOUR flag!!11!111!!",2,Male,New Mexico,Progressive
Misterveritis,"poweRob saidbwahhahahahahahahaha""Tell me who to vote for oh party leaders. I can't think for myself and I am at your disposal. I will pull the handle for whomever you tell me to.Click to expand...So who will you be voting for?",2,Male,"Hunsville, AL",Conservative
poweRob,Misterveritis saidSo who will you be voting for?Click to expand...Don't know just yet. I'll have to wait and see who the Greens put up or if there is an appealing independen,2,Male,New Mexico,Progressive
Misterveritis,"poweRob saidHow the hell can you expect anyone to discuss anything with you when you constanly make such irrelevan hyperbolostic crap commens? I've seen this same phrase from you over and over and over... We get it. You hate Obama. Do you have anything else to say?Click to expand...Hate him? Certainly. As any American should hate the one destroying the nation. But more importanly, I wan to retire him. He needs to have more books ghost writen for him. Retiremen will give him the time to negotiate the deal with Bill Ayers.Dreams from my Father ghost writen by Bill Ayers:  Donald Trump Claims Obama's'Dreams of My Father' Ghost Writen by Bill Ayers",2,Male,"Hunsville, AL",Conservative
poweRob,"Misterveritis saidHate him? Certainly. As any American should hate the one destroying the nation. But more importanly, I wan to retire him. He needs to have more books ghost writen for him. Retiremen will give him the time to negotiate the deal with Bill Ayers.Dreams from my Father ghost writen by Bill Ayers:  Donald Trump Claims Obama's'Dreams of My Father' Ghost Writen by Bill AyersClick to expand...The key phrase there is ""Donald Trump Claims....Kind of debunks itself.Trump claims Obama birth certificat'missin""You won't believe what my investigators on the ground have found."" - Trump:lamo",2,Male,New Mexico,Progressive
Misterveritis,poweRob saidbroken record is brokenClick to expand...That is why I gave you the link. Sometimes the video just will not load correctly.It is what it is. I am sorry that you had such difficulties with it,2,Male,"Hunsville, AL",Conservative
Misterveritis,"poweRob saidreread what I quoted from him. again... and again... and again...""the one term Marxist presiden Obama""the one term Marxist presiden Obama""the one term Marxist presiden Obama""the one term Marxist presiden Obama""the one term Marxist presiden Obama""the one term Marxist presiden Obama""the one term Marxist presiden Obama""the one term Marxist presiden ObamaClick to expand...I could learn to like this.",2,Male,"Hunsville, AL",Conservative
Misterveritis,"poweRob saidThe key phrase there is ""Donald Trump Claims....Kind of debunks itself.Trump claims Obama birth certificat'missinClick to expand...You wan more? There are pages of stories going back to 2008.",2,Male,"Hunsville, AL",Conservative
poweRob,Misterveritis saidYou wan more? There are pages of stories going back to 2008.Click to expand...I wan credibility. Trump doesn't have it. Fox News doesn't have it,2,Male,New Mexico,Progressive
poweRob,Misterveritis saidI could learn to like this.Click to expand...You already have.,2,Male,New Mexico,Progressive
Thrilla,"Re: SECRET VIDEO: Romney Tells Millionaire Donors What He REALLY Thinks of Obama Votwell, Romney may well be in trouble over this...more trouble than I suspected.sites such as MSNBC.com decided to use it as their headline this morning... and that's not a good sign at all.I figured the media would treat the statemen much like they treated the "" sticking to their gun and religion"" statemen Obama made, but that assumption is quickly turning out to be wholly incorrectI guess we'll see how long it stays headline material and how long the media will decide to run with it",3,Male,"Texas, Vegas, Colombia",Other
VanceMack,"Re: Ronmey secret video: ""My job is not to worry about those people.justabubba saidis it possible to try any harder to lose an electionRaw Story (Romney: My commens at fundraiser werexe2x80x98not eleganly statedxe2x80x99 | The Raw StoryClick to expand...Conext is everything. He was very direct. They asked him how he won the election and his response was direct and honest. That 47% in question are crippled dependen pets that leech off of society. He is right...he isn ever going to be able to pursuade them. They vote...they have made up their mind. Regardless of how bad the last 4 years has been for them, they don CARE...they wan Obama. Nothing Romney says will mater that 47% of the nations populace that are parasites and wan to hear only the race and class baiting the dems have to offer.",3,Male,,Independen
Camlon,"Re: SECRET VIDEO: Romney Tells Millionaire Donors What He REALLY Thinks of Obama VotThrilla saidI figured the media would treat the statemen much like they treated the "" sticking to their gun and religion"" statemen Obama made, but that assumption is quickly turning out to be wholly incorrectClick to expand...Why would they? Obama just insulted conservatives and made a stereotype of them. Republicans have insulted democrats too. It is not a big deal.Romney just admited he doesn't care about 47% of the population who do not pay income tax, many of them who happen to vote Republican. That is very insulting toward his own voters.You know, I would like to see liberals reaction if Obama lost in November, but Romney is a horrible candidate to represen conservatives. Republicans should focus on the senate and congress and try to find a beter candidate in 2016.",3,Male,"Oslo, Norway",Slightly Conservative
Tigger,"Re: Ronmey secret video: ""My job is not to worry about those people.I tend to agree with Mr. Romney, which is something of an unusual experience for me. It is NOT the place of the POTUS, or any other individual runing for National Office to be wasting their time on the masses of people who do not put anything INTO this counry, but rather TAKE from it as much as they can. I think his percenage is a bit high. There are a percenage of the non-tax payers who are such for reasons which they did not have a say or a hand in. However that percenage is nowhere near the whole of the group. In fact it's probably less than 25% of them if I had to guess. Those people deserve some help. The others do not",3,Male,New Englan,Very Conservative
justabubba,"Re: Ronmey secret video: ""My job is not to worry about those people.VanceMack saidConext is everything. He was very direct. They asked him how he won the election and his response was direct and honest. That 47% in question are crippled dependen pets that leech off of society. He is right...he isn ever going to be able to pursuade them. They vote...they have made up their mind. Regardless of how bad the last 4 years has been for them, they don CARE...they wan Obama. Nothing Romney says will mater that 47% of the nations populace that are parasites and wan to hear only the race and class baiting the dems have to offer.Click to expand...i hear youhe ****ing leechesMost of those who did not owe any federal income taxes or payroll taxes in 2011 were elderly, disabled or studens, according to the Cener for Budget Priorities.Click to expand...and if you truly wan conext, read thishtp://www.nytimes.com/2012/09/18/opinion/brooks-thurston-howell-romney.html?_r=0",3,Male,,Independen
Thrilla,"Re: SECRET VIDEO: Romney Tells Millionaire Donors What He REALLY Thinks of Obama VotCamlon saidWhy would they? Obama just insulted conservatives and made a stereotype of them. Republicans have insulted democrats too. It is not a big deal.Romney just admited he doesn't care about 47% of the population who do not pay income tax, many of them who happen to vote Republican. That is very insulting toward his own voters.You know, I would like to see liberals reaction if Obama lost in November, but Romney is a horrible candidate to represen conservatives. Republicans should focus on the senate and congress and try to find a beter candidate in 2016.Click to expand...I though it was prety clear to me that he was insulting Obama voters.. but whatever...doesn't much mater.Romney's spin is that the commen is out of conext and he was saying the 47% who don't pay taxes aren't going to support him lowering taxes... or some such.I duno... is there a beter video available ?what I find really sad is that a hidden video such as this can become headline news... while the MSM media completely and uterly ignores every other candidate in the race.my guy ( Gary Johnson) would probably have to dance nekkid on top of a dead hooker on the white house lawn to get this kind of media atenion... and it would still be 3rd page newsLord knows what it would take to get the really obscure candidates some atenion... there are 25 candidates in the election... not 2",3,Male,"Texas, Vegas, Colombia",Other
Sarcogit,"Re: Ronmey secret video: ""My job is not to worry about those people.Mycroft saidDid I miss something here?  I didn't see anything in that article saying anything like your first senence...the one I highlighted.  Can you explain why you made a reference to Americans who don't pay income tax?Click to expand...In the video he says""There are 47 percen of the people who will vote for the presiden no mater what. All right, there are 47 percen who are with him, who are dependen upon governmen, who believe that they are victims, who believe the governmen has a responsibility to care for them, who believe that they are enitled to health care, to food, to housing, to you-name-it. That that's an enitlemen. And the governmen should give it to them. And they will vote for this presiden no mater whatxe2x80xa6These are people who pay no income tax.SECRET VIDEO: Romney Tells Millionaire Donors What He REALLY Thinks of Obama Voters | Mother Jones",3,Male,SE Asia,Libertarian - Left
OpportunityCost,"Re: Ronmey secret video: ""My job is not to worry about those people.htp://www.debatepolitics.com/2012-...ire-donors-he-really-thinks-obama-voters.htmlSo how many threads about this video do the liberals inend to make? 4? 5?Since its the top two threads here, I duno.",3,Male,,Conservative
VanceMack,"Re: Ronmey secret video: ""My job is not to worry about those people.justabubba saidi hear youhe ****ing leechesand if you truly wan conext, read thishtp://www.nytimes.com/2012/09/18/opinion/brooks-thurston-howell-romney.html?_r=0Click to expand...leeches are leeches...no mater how you slice it. Its pathetic that you and others wan to parse it to pretend that the 47% is really just the old people. Well...no...thats not right is it...not even by the article cited. You are talking 18%. Not relevan. I don care if you are old or young, if you are runing around with your hand out and draining society of its resources and clamoring to vote for that scumbag so he can toss you a few more crumbs without regard to how much it costs and who gets tuck paying the bill...then you fit that description perfectly. Romneys commens were honest. That dependen class of voter...they vote cuz they wan the gov to take care of them more. He isn going to sway them so he has no reason to go after their vote. Beter to let the dems coninue to pander to them. Hey...hows that unemploymen rate doing? Across the board? How is it impacting the under 25 crowd? How is it impacting minorities? Hispanics? Hows that anual debt working out? You excited that their answer is to start pumping MORE cash? How did all those shovel ready jobs work out? And green energy jobs? Well...at least he'saved' those union jobs that were at risk because their states can manage to budget and fund their obligations correctly.Parasites.",3,Male,,Independen
